,frequency,peak flux density,loss calculted by iGSE,loss calculted by SE,Measured loss
0,500000.0,0.01,10240.196373817851,299.94533040789224,1162.9
1,500000.0,0.02,122979.28182826817,3602.1830026246444,6299.1
2,500000.0,0.03,526396.286229376,15418.66017357355,18338.0
3,500000.0,0.04,1476915.4034648614,43260.291356269365,44572.0
4,500000.0,0.05,3287642.7392872763,96298.25949626564,89174.0
5,500000.0,0.06,6321737.87243698,185169.86253782595,158490.0
6,500000.0,0.07,10987891.602488741,321846.052251616,273850.0
7,500000.0,0.08,17736964.11756394,519532.96289103705,435100.0
8,500000.0,0.09,27059349.25862859,792594.7079251073,648850.0
9,500000.0,0.1,39482831.01476597,1156490.594696246,925600.0
10,500000.0,0.11,55570792.88210644,1627722.6747984276,1282100.0
11,600000.0,0.01,13479.01564046819,394.81350281430576,1680.8000000000002
12,600000.0,0.02,161875.76904824085,4741.499016205283,8870.1
13,600000.0,0.03,692887.4717003877,20295.3492343211,26356.0
14,600000.0,0.04,1944041.412511428,56942.86735489294,60576.0
15,600000.0,0.05,4327474.42387213,126755.94280777386,119030.0
16,600000.0,0.06,8321207.9677871475,243736.2900258671,211590.0
17,600000.0,0.07,14463195.563748408,423641.09180701926,363870.0
18,600000.0,0.08,23346897.659730367,683853.3829733791,564130.0
19,600000.0,0.09,35617812.25314165,1043280.4288783134,833460.0
20,600000.0,0.1,51970653.42796515,1522271.0820098515,1184800.0
21,600000.0,0.11,73146994.36099453,2142546.743346563,1673400.0
22,700000.0,0.01,17004.625560112494,498.08205291172834,2263.7999999999997
23,700000.0,0.02,204216.45863042946,5981.699073198199,11795.0
24,700000.0,0.03,874121.10244787,25603.858883077806,35380.0
25,700000.0,0.04,2452530.4499135353,71837.00676049327,80354.0
26,700000.0,0.05,5459381.023194146,159910.5900948684,154490.0
27,700000.0,0.06,10497726.946411507,307488.6518313209,275190.0
28,700000.0,0.07,18246230.401709,534449.868611131,460930.0
29,700000.0,0.08,29453579.050835773,862724.0316099674,709460.0
30,700000.0,0.09,44934109.19538207,1316163.8446361413,1042200.0
31,700000.0,0.1,65564246.32401627,1920440.6642906524,1476200.0
32,700000.0,0.11,92279531.61668473,2702957.4033776587,2092500.0
33,800000.0,0.01,20795.929426788367,609.1330376247137,3078.2
34,800000.0,0.02,249747.99041908229,7315.362007753153,15662.0
35,800000.0,0.03,1069012.7043792484,31312.42381690009,45406.0
36,800000.0,0.04,2999339.7957016816,87853.58534016751,102470.0
37,800000.0,0.05,6676589.382750399,195563.80906201893,197090.0
38,800000.0,0.06,12838270.854452383,376045.4636544285,347910.0
39,800000.0,0.07,22314359.01940263,653609.320034911,579810.0
40,800000.0,0.08,36020466.85134189,1055074.5744287078,881090.0
41,800000.0,0.09,54952492.801410794,1609612.062928751,1282300.0
42,800000.0,0.1,80182267.73973086,2348616.756172711,1810600.0
43,800000.0,0.11,112853918.49727774,3305601.2439408908,2545100.0
44,900000.0,0.01,24835.935999261474,727.4687669402945,4093.4999999999995
45,900000.0,0.02,298266.3086941634,8736.51082898701,21014.0
46,900000.0,0.03,1276688.8444120234,37395.460329679605,59700.0
47,900000.0,0.04,3582018.8498105067,104920.8226299998,126740.0
48,900000.0,0.05,7973644.41859168,233555.8149846149,244490.0
49,900000.0,0.06,15332350.22771498,449099.47886740515,425770.0
50,900000.0,0.07,26649349.54801944,780585.4168747682,705680.0
51,900000.0,0.08,43018130.66508396,1260042.9664473147,1066700.0
52,900000.0,0.09,65628064.32963012,1922309.9558629077,1552100.0
53,900000.0,0.1,95759205.03434536,2804880.4285688894,2195200.0
54,900000.0,0.11,134777948.10429484,3947777.435128269,3046100.0
55,1000000.0,0.01,29110.575919643023,852.6771356559408,5441.6
56,1000000.0,0.02,349602.4479919466,10240.19637381786,27717.0
57,1000000.0,0.03,1496426.288589352,43831.7841940609,76367.0
58,1000000.0,0.04,4198538.427386101,122979.28182826824,161380.0
59,1000000.0,0.05,9346029.125318782,273754.3003728914,305300.0
60,1000000.0,0.06,17971279.41317473,526396.2862293764,517760.0
61,1000000.0,0.07,31236105.3454878,914935.9637734147,849650.0
62,1000000.0,0.08,50422201.06720714,1476915.4034648626,1278600.0
63,1000000.0,0.09,76923646.00970642,2253168.550317445,1859000.0
64,1000000.0,0.1,112240811.3887822,3287642.7392872786,2654200.0
65,1000000.0,0.11,157975269.81469315,4627249.592790561,3661200.0
