,fs,Bm,D,Analytical,Measured
0,330000.0,0.0144,0.9,0.309241949,4.063365050846095
1,350000.0,0.0412,0.1,5.267693495,3.745165897981876
2,210000.0,0.0168,0.1,0.237880694,3.724111065359765
3,360000.0,0.0444,0.1,6.676864537,3.812473954229058
4,410000.0,0.0357,0.9,4.57165817,3.806516611130548
5,440000.0,0.0399,0.9,6.784637246,3.842362903035011
6,160000.0,0.1665,0.4,64.12228908,2.4876949895862497
7,140000.0,0.034,0.4,0.827293077,2.787152057082798
8,320000.0,0.0242,0.4,1.148459295,2.7324764751381867
9,460000.0,0.0302,0.4,3.496697034,2.90936288989708
10,290000.0,0.0143,0.9,0.251056368,3.9572729349268188
11,410000.0,0.0424,0.4,7.167796563,2.799767597005092
12,250000.0,0.0172,0.9,0.32700567,3.842188713403342
13,260000.0,0.0158,0.9,0.27747523,3.853323553033286
14,280000.0,0.1667,0.4,146.6131208,2.4648333873234267
15,120000.0,0.0931,0.1,9.182377281,3.2429085686710923
16,60000.0,0.1323,0.4,8.294850575,2.821545114259265
17,410000.0,0.0319,0.9,3.406227606,3.8711587523066755
18,160000.0,0.0152,0.1,0.122699739,3.564496728238621
19,170000.0,0.0525,0.1,3.428776714,3.394663600593633
20,110000.0,0.1875,0.4,50.387929,2.5335961525420356
21,150000.0,0.0121,0.1,0.061457124,3.5806009719964793
22,180000.0,0.0944,0.4,17.29590245,2.589828420211211
23,230000.0,0.0427,0.4,3.117362139,2.641896860756741
24,210000.0,0.043,0.4,2.77698151,2.6185231329588863
25,430000.0,0.0241,0.4,1.755189423,2.879524524357117
26,410000.0,0.0301,0.4,2.926307642,2.8475895198579897
27,400000.0,0.0105,0.1,0.179733136,4.483449295711881
28,190000.0,0.0279,0.9,0.773346516,3.499395773533338
29,70000.0,0.1846,0.1,24.86801516,3.105876426652252
30,110000.0,0.0156,0.9,0.075643736,3.2836640248334192
31,480000.0,0.0163,0.1,0.742338612,4.359417462840881
32,330000.0,0.0242,0.4,1.201683315,2.728192984264313
33,370000.0,0.0231,0.1,1.259257637,4.05110062640447
34,460000.0,0.0221,0.1,1.545490463,4.27344501836473
35,190000.0,0.235,0.4,203.3218077,2.3539331439324287
36,360000.0,0.0109,0.4,0.169714667,2.9530759857668234
37,220000.0,0.1183,0.4,41.92949715,2.534061395902056
38,490000.0,0.0216,0.4,1.597624323,2.9713925522151765
39,390000.0,0.118,0.4,96.75801953,2.6175031402151223
40,350000.0,0.1315,0.4,109.5226422,2.5599967241642756
41,310000.0,0.0143,0.9,0.276956521,3.9924308319761344
42,410000.0,0.0172,0.4,0.677404996,2.9099688727907145
43,130000.0,0.1493,0.4,35.5167611,2.547135031168809
44,220000.0,0.0304,0.9,1.201035934,3.588249158029089
45,390000.0,0.0939,0.4,53.2434036,2.6806290078524393
46,190000.0,0.097,0.9,20.1078148,3.2654488992045465
47,320000.0,0.0428,0.4,5.100228015,2.717817593110877
48,80000.0,0.2099,0.9,42.35130271,3.002743439786522
49,50000.0,0.2912,0.9,49.90184337,2.9130499130185648
